Symbol,Conclusion,Price,Market Cap (Cr),Score (%),market_cap,stock_price,eps,eps_growth_5y,roe,roce,operating_margin,net_margin,gross_margin,de_ratio,interest_coverage,current_ratio,quick_ratio,free_cash_flow,cash_conversion_ratio,revenue,revenue_growth_5y,profit,profit_growth_5y,operating_leverage,pe_ratio,peg_ratio,pb_ratio,ev_ebitda,beta,dividend_yield,liquidity,promoter_holding,promoter_holding_growth,quarterly_revenue,quarterly_profit,quarterly_eps,quarterly_revenue_growth,quarterly_profit_growth,quarterly_eps_growth,quarterly_de_ratio,quarterly_current_ratio,quarterly_interest_coverage,market_cap (s),stock_price (s),eps_growth_5y (s),roe (s),roce (s),operating_margin (s),net_margin (s),de_ratio (s),interest_coverage (s),current_ratio (s),free_cash_flow (s),revenue_growth_5y (s),profit_growth_5y (s),cash_flow_growth (s),pe_ratio (s),peg_ratio (s),pb_ratio (s),ev_ebitda (s),liquidity (s),promoter_holding (s),promoter_holding_growth (s)
MFML.NS,,28.1,29.8429728,34.28571429,298429728,28.1,9.72,,,,0.08174,0.06956,0.09835,44.878,6.259690501,,,,,1441429000,0.005132454,79107000,,,2.8909464,,0.3049674,11.841,,,18298,64.8,0,"[335178000.0, 179735000.0, 391586000.0, 478539000.0, 391568000.0]","[25860000.0, 72296000.0, -10690000.0, 15783000.0, 1718000.0]","[2.43, -1.01, 1.49, 0.161766]","[-0.46376253811407675, 1.178685286672045, 0.2220533931243711, -0.1817427628678122]","[1.7956689868522817, -1.1478643355095717, -2.476426566884939, -0.8911487043020971]","[-1.4156378600823045, -2.4752475247524752, -0.8914322147651007]","[0.4487816343319044, 0.4577481377276278, 0.39933003405585876]",[],"[3.240566037735849, 33.664278736567894, -2.642879450343535, 2.9961105424769703, 1.4398055476122391]",5,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5,3,0,5,3
PASUPTAC.NS,,42.81,382.6144,34.28571429,3826144000,42.81,2.91,-0.083087783,,,0.01402,0.03791,0.25557,29.59,95.74833174,,,,,6214300000,-0.070892342,353800000,-0.08309198,1.172086826,14.71134,,1.0515586,10.672,0.225,,32787,65.87,0,"[2160500000.0, 1683200000.0, 1738700000.0, 1244400000.0, 1548000000.0]","[17500000.0, 112712000.0, 101300000.0, 27300000.0, 112500000.0]","[0.2, 1.14, 0.31, 1.26]","[-0.22092108308261982, 0.032972908745247054, -0.28429286248346464, 0.24397299903567982]","[5.440685714285714, -0.10124920150471994, -0.7305034550839091, 3.1208791208791204]","[4.699999999999999, -0.7280701754385965, 3.064516129032258]","[0.2958958093041138, 0.296410854975197, 0.13453145854295354]",[],"[1.7228915662650603, 19.154761904761905, 22.0, 7.763636363636364, 33.82608695652174]",5,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5,3,0,5,3
PRITI.NS,,66.89,92.576608,34.28571429,925766080,66.89,2.64,-0.055114505,,,-0.057389997,0.055120002,0.22214001,0.481,99.72993827,,,,,770635000,0.104113042,47539000,0.028073098,0.269640548,25.33712,,1.2425694,45.669,-1.245,,19994,64.6,0,"[71385000.0, 158665000.0, 216593000.0, 192718000.0, 202659000.0]","[2580000.0, 8383000.0, 14499000.0, 9781000.0, 14875000.0]","[0.19, 1.09, 0.73, 1.11]","[1.2226658261539538, 0.365096272019664, -0.11022978581948628, 0.05158314220778548]","[2.2492248062015503, 0.7295717523559584, -0.3254017518449548, 0.5208056435947244]","[4.736842105263158, -0.3302752293577982, 0.5205479452054795]","[0.004814163245930022, 0.0, 0.0]",[],"[1178.6666666666667, 31.03361344537815, 63.533546325878596, 48.05035971223022, 49.15496368038741]",5,5,0,0,0,0,0,5,5,0,0,3,0,0,0,0,5,0,0,5,3
SETCO.NS,,18.72,250.4123136,34.28571429,2504123136,18.72,-8.28,-0.223222756,,,0.077989995,-0.15141,0.53217,,0.397196587,,,,,7186276000,0.182145354,-1050936000,-0.223379483,-1.226380349,,,-0.3600069,11.879,0.533,,118911,59.25,0,"[1787500000.0, 2188676000.0, 1773300000.0, 1598500000.0, 1658000000.0]","[-349200000.0, -182836000.0, -287000000.0, -288700000.0, -292400000.0]","[-2.61, -2.14, -2.16, -2.19]","[0.2244341258741258, -0.1897841434730403, -0.09857328145265887, 0.03722239599624655]","[-0.47641466208476513, 0.5697127480364916, 0.005923344947735165, 0.012816072047107774]","[-0.1800766283524904, 0.009345794392523477, 0.01388888888888884]","[-1.9346152205554175, -1.665735612050056, -2.098698014261422]",[],"[0.24473593372454264, 0.5913806994156684, 0.40045288277303603, 0.33644503714993335, 0.24185387573365716]",5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,5,5,3
USK.NS,,27.23,155.6905344,34.28571429,1556905344,27.23,-2.91,,,,-0.13915,-0.05745,0.03111,35.611,-0.455689829,,,,,2891273000,0.159171254,-72068000,,,,,0.8948406,-24.667,-0.596,,68462,65.95,0,"[581642000.0, 1124853000.0, 447578000.0, 764688000.0, 554155000.0]","[-77283000.0, -62498000.0, 15013000.0, -42909000.0, 18326000.0]","[-1.4, 0.27, -0.77513, 0.33]","[0.9339267109321541, -0.6021008967393962, 0.7085022052022218, -0.27531882284016485]","[-0.1913098611596341, -1.240215686901981, -3.8581229601012454, -1.4270898879023048]","[-1.1928571428571428, -3.8708518518518518, -1.4257350379936269]","[0.35611381812655535, 0.3915632762941533, 0.21767425694123674]",[],"[-3.302086811352254, -19.11668797953964, 2.1598786828422876, -2.1716028981822806, 2.4456053361666963]",5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,3,5,3
VARDHACRLC.NS,,41.79,335.8401024,34.28571429,3358401024,41.79,1.15,-0.067004419,,,-0.019019999,0.03144,0.28195998,0.075,730.5227273,,,,,2810117000,-0.024914888,118214000,-0.067087704,2.692675302,36.33913,,1.430087,600.973,-0.083,3.55,73736,74.97,0,"[693900000.0, 715617000.0, 817800000.0, 706200000.0, 570500000.0]","[17500000.0, 19614000.0, 39700000.0, 15600000.0, 43400000.0]","[0.22, 0.49, 0.19, 0.54]","[0.03129701686121922, 0.14279006787150106, -0.136463683052091, -0.192155196828094]","[0.12080000000000002, 1.024064443764658, -0.6070528967254408, 1.782051282051282]","[1.227272727272727, -0.6122448979591837, 1.8421052631578947]","[0.0007445938380983987, 0.0, 0.004677434025132617]",[],"[58.5, 17.74609375, 160.66666666666666, 58.166666666666664, 91.66666666666667]",5,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,3,5,3
GINNIFILA.NS,,43.2,371.0206208,33.33333333,3710206208,43.2,1.8,-0.561713899,,,0.2049,0.03581,0.49816,37.242,1.44307196,,,,,3737844000,-0.295719831,41953000,-0.557327071,1.884645578,24.000002,,1.8525666,10.434,0.634,,76178,69.73,0,"[1015449000.0, 948903000.0, 992378000.0, 933603000.0, 625641000.0]","[106102000.0, 47877000.0, -6935000.0, 756000.0, 255000.0]","[1.24, -0.08, 0.01, 0.0]","[-0.06553357184851238, 0.045816063391094675, -0.05922642380222054, -0.3298639785861871]","[-0.5487643965240995, -1.1448503456774652, -1.1090122566690699, -0.6626984126984127]","[-1.064516129032258, -1.125, -1.0]","[0.3724212616099343, 0.432755494313678, 0.4019662041009253]",[],"[10.692977567228647, 13.33114503816794, 1.1501406312781821, -0.32884075411151226, 2.3030285939879307]",5,5,0,0,0,5,0,0,0,0,0,0,0,0,3,0,3,3,3,5,3
IL&FSTRANS.NS,,2.94,98.0590208,33.33333333,980590208,2.94,-20.17,,,-0.02629,0.34368,0,-0.46227002,385.701,,0.075,0.016,-5176137728,,,,,,,,,-0.0065085,-234.038,-0.112,,39464,73.22,0.77,[],[],[],[],[],[],[],[],[],5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5
RAMANEWS.NS,,30.1,464.3453952,33.33333333,4643453952,30.1,-1.99,0.151678048,,,0.102460004,-2.53586,0.51929003,,0.207823162,,,,,441321000,0.124511453,-1062869000,0.15090132,1.211947304,,,-31.751055,73.425,0.079,,40418,74.76,0,"[91729000.0, 109044000.0, 124303000.0, 90018000.0, 113737000.0]","[-102778000.0, -53546000.0, -806459000.0, -100535000.0, -102329000.0]","[-0.7, -5.48, -0.69, -0.7]","[0.18876255055653068, 0.1399343384321925, -0.2758179609502587, 0.2634917460952253]","[-0.4790130183502306, 14.061050311881374, -0.8753377419062841, 0.017844531755110138]","[6.82857142857143, -0.8740875912408759, 0.01449275362318847]","[-25.585778124556676, 5.061367543425144, 3.948573220105099]",[],"[0.1038758661848082, 0.2509557587991835, 0.23807542832119985, 0.15615698076732973, 0.18723031358498518]",5,5,3,0,0,3,0,0,0,0,0,3,3,0,0,0,5,0,0,5,3
BALKRISHNA.NS,,23.79,77.180032,32.38095238,771800320,23.79,-1.89,,,,-0.14598,0.08257,0.06745,,-0.135783266,,,,,23236000,-0.786304026,81865000,,,,,-0.45403364,-204.394,-0.096,,65400,59.95,0,"[11159000.0, 16702000.0, 6534000.0, 0.0, 0.0]","[-17633000.0, 69637000.0, -18068000.0, -31096000.0, 61392000.0]","[-0.54, -0.56, -0.96, 2.04]","[0.49672909758938966, -0.6087893665429289, -1.0]","[-4.949242896841151, -1.259459769949883, 0.7210537967677662, -2.9742732184203753]","[0.03703703703703698, 0.714285714285714, -3.125]","[-0.29624639566017064, -0.918103059472149, -0.3657471192878702]",[],"[-0.11887550200803212, -0.13477111221285737, -0.14631012607403837, -0.16124487704918034, -0.10761426857205192]",5,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,5,3,5,3
BPL.NS,,75.19,374.9309184,32.38095238,3749309184,75.19,-2.13,-0.771890505,-0.027379999,,0.13753,-0.13448,0.48497,47.01,1.085522694,0.292,0.179,,,783586000,0.270049595,2480000,-0.732453324,-2.712291879,,,1.4556191,63.019,-0.38,,90533,63.13,0,"[194770000.0, 187366000.0, 193197000.0, 209153000.0, 193870000.0]","[27330000.0, -175075000.0, 3129000.0, 40652000.0, 133773000.0]","[0.56, 0.064, 0.83, 2.73]","[-0.03801406787492945, 0.03112090774206644, 0.08258927416057182, -0.07307090981243392]","[-7.405964141968533, -1.0178723404255319, 11.992010226909557, 2.290686805077241]","[-0.8857142857142857, 11.968749999999998, 2.289156626506024]","[0.12378979202689779, 0.040551769385196695, 0.11144649647826628, 0.050266758959802385]",[],"[8.139498432601881, -12.544327197103906, 3.0135135135135136, 15.046993780234969, 53.418887147335425]",5,5,0,0,0,3,0,0,0,0,0,5,0,0,0,0,5,0,3,5,3
COUNCODOS.NS,,6.86,53.9446784,32.38095238,539446784,6.86,0.08,-0.376468092,,,0.05113,0.03379,0.70066,0.183,12.34103261,,,,,167069000,-0.086660409,5975000,-0.381684898,4.404374512,85.75,,2.4240284,58.093,0.5,,62714,53.86,0,"[35440000.0, 26160000.0, 48996000.0, 49889000.0, 42024000.0]","[1382000.0, 887000.0, 1534000.0, 1619000.0, 1935000.0]","[0.02, 0.03, 0.02, 0.02]","[-0.2618510158013544, 0.8729357798165138, 0.018225977630827117, -0.15764998296217603]","[-0.3581765557163531, 0.7294250281848929, 0.05541069100391138, 0.19518221124150714]","[0.5, -0.33333333333333326, 0.0]","[0.0018287144018231366, 0.061176707231217944, 0.07944625154578587]",[],"[226.5, 75.2, 13.433734939759036, 9.5893536121673, 9.850174216027874]",5,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,3,0,3,5,3
GENUSPAPER.NS,,16.47,430.0914688,32.38095238,4300914688,16.47,0.11,-0.520858014,,,0.04982,0.00313,0.28428,78.189,1.078828859,,,,,8632472000,0.140203989,29328000,-0.515500521,-3.676789262,149.72726,,0.87807214,9.753,-0.157,,91674,50.85,0,"[2554543000.0, 2282091000.0, 2130874000.0, 2110864000.0, 2108643000.0]","[27401000.0, -151000.0, 5431000.0, -4244000.0, 28291000.0]","[0.11, 0.02, -0.02, 0.11]","[-0.10665391030802773, -0.0662624759485928, -0.009390513000768652, -0.001052175791524279]","[-1.0055107477829277, -36.966887417218544, -1.781439882157982, -7.6661168708765315]","[-0.8181818181818181, -2.0, -6.5]","[0.7818877627743437, 0.7344429424607878, 0.6960134081747407]",[],"[1.2455791832620589, 1.0569424631478839, 1.0247237386521904, 0.9287861511350679, 1.3207545060154748]",5,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,5,3,5,3
INSPIRISYS.NS,,92,367.4262784,32.38095238,3554849536,89.01,7.56,,,,0.0857,0.095979996,0.17721,144.37,4.377192982,,,,,3878500000,0.043356776,317300000,,,11.773809,,6.024773,11.356,0.39,,7657,69.95,0,"[846000000.0, 1200400000.0, 795100000.0, 841500000.0, 1041500000.0]","[61400000.0, 122700000.0, 132000000.0, 37700000.0, 24900000.0]","[1.54, 3.33, 0.95, 0.63]","[0.41891252955082736, -0.33763745418193936, 0.05835743931580928, 0.23767082590612]","[0.998371335504886, 0.07579462102689494, -0.7143939393939394, -0.3395225464190982]","[1.1623376623376624, -0.7147147147147148, -0.33684210526315783]","[1.4437040833760464, 2.7223065250379364, 2.834073062478662]",[],"[7.244094488188976, 58.285714285714285, 2.1578947368421053, 2.857707509881423, 2.4526748971193415]",5,5,0,0,0,0,3,0,5,0,0,0,0,0,5,0,0,3,0,5,3
KOTARISUG.NS,,30.36,255.6197376,32.38095238,2556197376,30.36,1.47,-0.325715917,,,-0.03787,0.042519998,0.27168,17.255,5.692678012,,,,,3092307000,-0.09659918,104252000,-0.325888933,3.373620068,20.65306,,0.8698393,15.23,0.235,,63053,73.53,0,"[666932000.0, 360544000.0, 827520000.0, 1015874000.0, 896220000.0]","[12495000.0, -6934000.0, 54049000.0, 62456000.0, -5319000.0]","[0.15, 0.65, 0.75, -0.06]","[-0.45939915913466445, 1.2951983669122216, 0.2276126256767208, -0.11778429214646702]","[-1.5549419767907162, -8.794779348139603, 0.15554404336805483, -1.0851639554246189]","[3.333333333333334, 0.15384615384615374, -1.08]","[0.1725514487075302, 0.002876315279862595, 0.25220345191007726]",[],"[1.9829310654608612, -1.2353994983876746, 12.919631901840491, 0.6280232769594472]",5,5,0,0,0,0,0,0,5,0,0,0,0,0,3,0,5,0,3,5,3
SILGO.NS,,66.51,125.452352,32.38095238,1254523520,66.51,2.51,0.07826619,,,0.13579,0.10566,0.17081,,35.9648415,,,,,443748000,0.084180545,44777000,0.247624988,2.941594032,26.498009,3.385626528,2.1049466,19.068,0.259,,16222,52.57,-2.8,"[109709000.0, 165264000.0, 101534000.0, 64184000.0, 112766000.0]","[11122000.0, 17358000.0, 10072000.0, 8008000.0, 9338000.0]","[0.56, 0.54, 0.43, 0.5]","[0.5063850732392055, -0.38562542356472074, -0.36785707250773136, 0.7569176118658856]","[0.5606905232871786, -0.4197488189883627, -0.2049245432883241, 0.16608391608391604]","[-0.0357142857142857, -0.20370370370370372, 0.16279069767441867]","[0.0, 0.0, 0.12553343342528975]",[],"[438.11764705882354, 17.02117802779616, 1900.142857142857, 97.72972972972973, 118.20754716981132]",5,5,0,0,0,3,3,0,5,0,0,0,5,0,0,0,3,0,0,5,0
TIGERLOGS.NS,,42.94,464.6785024,32.38095238,4646785024,42.94,2.56,,,,0.05533,0.050380003,0.07588,24.686,13.688135,,,,,5363050000,-0.044669267,270080000,-0.070518927,1.578690019,16.773438,,3.6334405,13.29,0.153,,114735,57.1,0,"[1025187000.0, 1145046000.0, 1604664000.0, 1601701000.0, 1011638000.0]","[47068000.0, 64251000.0, 84235000.0, 75366000.0, 46255000.0]","[7.23, 4.61]","[0.1169142800289118, 0.4013969744446948, -0.0018464924744370226, -0.36839772217161626]","[0.365067561825444, 0.31103017851862225, -0.105288775449635, -0.3862617095241886]",[-0.36237897648686035],"[0.24856834214019835, 0.27812292942760264, 0.10863157400882925]",[],"[8.455901503492365, 10.920852359208524, 12.840033588747769, 16.52751452155304, 17.276651750460648]",5,5,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,3,5,5,3
WEWIN.NS,,70.98,78.8824064,32.38095238,788824064,70.98,1.47,-0.083700094,,,0.050300002,0.01975,0.20002002,43.752,3.439731569,,,,,783579800,0.235242342,16455600,-0.083699979,-0.355803205,48.285717,,2.514792,12.289,1.362,,93552,70.9,0,"[203398000.0, 201572800.0, 192679000.0, 203980000.0, 188349000.0]","[5936000.0, 10779600.0, -2902000.0, 1788000.0, 6729000.0]","[0.49, -0.285602, 0.21, 0.64]","[-0.008973539562827537, -0.04412202440011748, 0.05865195480566121, -0.07663006177076181]","[0.8159703504043128, -1.2692122156666295, -1.6161268090971743, 2.7634228187919465]","[-1.582861224489796, -1.735288968564646, 2.047619047619048]","[0.4375190541271249, 0.31128837055781716, 0.4681399858345439]",[],"[3.328473413379074, 10.208513178436954, 0.060516167309403734, 1.6670151594354417, 4.936327954644571]",5,5,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,3,3,5,3
ASMS.NS,,13.41,408.4374016,31.42857143,4084374016,13.41,0.04,,,,-0.09064999,0.03687,0.05949,0.65,329.4246575,,,,,400360000,-0.151601411,17463000,,,335.25,,14.736263,-759.139,-0.591,,124174,69.37,-5.63,"[88331000.0, 89058000.0, 87064000.0, 88539000.0, 135699000.0]","[4471000.0, 9310000.0, -3250000.0, 2485000.0, 8918000.0]","[0.01, -0.01, 0.01, 0.03]","[0.008230406086198405, -0.02238990320914458, 0.01694156023155391, 0.5326466302985124]","[1.0823082084544846, -1.3490870032223414, -1.7646153846153845, 2.5887323943661973]","[-2.0, -2.0, 2.0]","[0.006495644201531344, 0.007152129094657538, 0.0]",[],"[-195.29268292682926, 327.13953488372096, -107.33333333333333]",5,5,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,5,5,0
EASTSILK.NS,,60.52,30.26,31.42857143,302600000,60.52,0.18,,-0.22584,,-0.09621,-0.07202,1.16465,,32.74698795,1.206,0.404,,,215788000,-0.328602907,39642000,,,336.2222,,0.48301622,,0.931,,1395,100,48.72,"[67268000.0, 47492000.0, 44752000.0, 63045000.0, 60801000.0]","[-2473000.0, 35442000.0, -3206000.0, 11502000.0, -4095000.0]","[-0.37, -0.04, 0.15, -0.05]","[-0.2939882261996789, -0.057693927398298706, 0.4087638541294243, -0.03559362360218887]","[-15.33158107561666, -1.090457649116867, -4.587648159700562, -1.3560250391236306]","[-0.8918918918918919, -4.75, -1.3333333333333335]","[0.9842286136403784, 0.6298183109690452, 0.7636027114831938, 0.9282245938430793]",[],"[-65.83783783783784, 23.55421686746988, -67.25]",5,5,0,0,0,0,0,0,5,3,0,0,0,0,0,0,5,0,0,5,5
GOENKA.NS,,1.11,35.1870016,31.42857143,351870016,1.11,-0.07,-0.080358608,,,-2.42051,-1.9309399,0.04081,77.424,-2.796493765,,,,,13630000,-0.315861016,-21018000,-0.084983748,0.269054248,,,0.1664667,-207.827,0.706,,265179,57.55,0,"[868000.0, 4688000.0, 2134000.0, 1939000.0, 4869000.0]","[-2253000.0, -3510000.0, -6919000.0, -5911000.0, -4678000.0]","[-0.01, -0.02, -0.02, -0.01]","[4.400921658986175, -0.5447952218430034, -0.09137769447047794, 1.5110881897885506]","[0.5579227696404794, 0.9712250712250712, -0.14568579274461624, -0.2085941465065133]","[1.0, 0.0, -0.5]","[0.7744539248855025, 0.770916419411574, 0.7674312820295625]",[],"[-0.6082548877624909, -1.5514758819294456, -3.994927536231884, -3.207369942196532, -2.4391304347826086]",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3
HCL-INSYS.NS,,14.91,495.7377024,31.42857143,4957377024,14.91,-0.65,,,,-1.45377,-0.88871,0.65246004,,,,,,,246127000,-0.292298936,-211092000,,,,,-1.6653636,-12.374,0.463,,271149,62.89,0,"[70300000.0, 46527000.0, 57000000.0, 67900000.0, 74700000.0]","[-45000000.0, -38992000.0, -52500000.0, -78400000.0, -41300000.0]","[-0.14, -0.16, -0.24, -0.13]","[-0.3381650071123755, 0.22509510606744465, 0.19122807017543852, 0.10014727540500745]","[-0.13351111111111114, 0.34643003693065255, 0.4933333333333334, -0.4732142857142857]","[0.1428571428571428, 0.5, -0.45833333333333326]","[-1.2200251840691516, -1.2635250569476082, -1.3181370082745587]",[],"[-449.0, -28.85142857142857, -174.0, -111.0, -102.25]",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,3
JMA.NS,,93.01,213.471872,31.42857143,2134718720,93.01,11.47,0.020319478,,,0.03711,0.04634,0.13532,,,,,,,5552660000,0.083530647,257474000,0.020335845,0.243453698,8.10898,3.990742316,0.8541648,6.796,-0.178,2.25,6599,51,0,"[1390360000.0, 1585553000.0, 1410464000.0, 1267373000.0, 1289270000.0]","[55133000.0, 98518000.0, 66997000.0, 41564000.0, 50395000.0]","[2.41, 2.93, 1.82, 2.21]","[0.14039025863805055, -0.11042771827873299, -0.1014495938925063, 0.017277470799835548]","[0.7869152776014365, -0.3199516839562313, -0.37961401256772687, 0.2124675199692041]","[0.21576763485477168, -0.378839590443686, 0.2142857142857142]",[],[],[],5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,3
KEEPLEARN.NS,,2.92,45.4679296,31.42857143,454679296,2.92,0.03,-0.417517126,,,0.34068,0.051,0.59709,,4.734148205,,,,,99760000,0.274339411,3288000,-0.363320607,-1.324347111,97.333336,,4.4785275,48.571,0.596,,93073,55.42,-1.5,"[27091000.0, 33071000.0, 21094000.0, 20011000.0, 25584000.0]","[3003000.0, -393000.0, 1344000.0, 1209000.0, 1126000.0]","[0.02, 0.01, 0.01, 0.01]","[0.2207375143036432, -0.36216020078013966, -0.05134161372902246, 0.2784968267452901]","[-1.1308691308691308, -4.419847328244275, -0.1004464285714286, -0.06865177832919767]","[-0.5, 0.0, 0.0]","[0.29830280813196963, 0.07187428440577055, 13.207862818904225]",[],"[10.189376443418015, 1.0954773869346734, 8.804444444444444, 16.198019801980198, 3.663247863247863]",5,5,0,0,0,5,0,0,5,0,0,5,0,0,0,0,0,0,3,5,0
MADHUCON.NS,,7,53.0973632,31.42857143,530973632,7,-79.07,0.647178363,,,-0.59082,-0.61234003,0.50373,,-13.81048523,,,,,6615547000,-0.113055271,-4752049000,0.647104456,-5.723788477,,,-0.035171814,50.894,0.676,,27553,59.08,0,"[1572926000.0, 1237734000.0, 1114362000.0, 1899461000.0, 2363990000.0]","[-1178237000.0, -388723000.0, -4222737000.0, -44808000.0, -95781000.0]","[-15.97, -57.22, -0.61, -1.3]","[-0.21310093418253628, -0.09967569768625573, 0.7045277925844564, 0.2445583247036922]","[-0.6700808071720714, 9.863100459710385, -0.9893888726671825, 1.1375870380289235]","[2.582968065122104, -0.9893393918210416, 1.1311475409836067]","[-2.421397491618826, -1.7173791210914853, -2.6039809593676333]",[],"[-18.751610093027598, -1.2559374513500892, -90.73859533967837, -3.3377259036144578, -0.5532777337744025]",5,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,5,3
MANAKALUCO.NS,,28.01,192.25984,31.42857143,1922598400,28.01,1.05,-0.068975752,,,0.06656,0.012259999,0.27796,176.621,1.335613105,,,,,5025187000,0.051644253,60458000,-0.067486523,-1.306757663,26.676191,,1.3781058,9.279,0.202,0.24,51412,74.87,2.01,"[1344144000.0, 1304444000.0, 1397426000.0, 1506148000.0, 817169000.0]","[15577000.0, 19974000.0, 16510000.0, 16845000.0, 7129000.0]","[0.24, 0.25, 0.26, 0.11]","[-0.029535525955552422, 0.07128094421837972, 0.0778016152554768, -0.45744442113258454]","[0.28227514925852226, -0.1734254530890157, 0.02029073288915817, -0.5767883644998516]","[0.04166666666666674, 0.040000000000000036, -0.5769230769230769]","[1.772391125718981, 1.6193892777502008, 1.330781467258798]",[],"[1.289893051915858, 1.8798761989397237, 1.2645719489981786, 1.2915580071271555, 1.1781891362051318]",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,5,5
PEARLPOLY.NS,,29.1,49.5393504,31.42857143,495393504,29.1,-2.09,,,,-0.31599,-0.16316,0.46049,,-94.34900542,,,,,219721000,0.162338597,-51200000,,,,,1.46666,-2.844,0.064,,24245,55.58,0,"[49178000.0, 62281000.0, 54907000.0, 49256000.0, 53277000.0]","[28944000.0, -44273000.0, -22169000.0, 2318000.0, 12924000.0]","[1.72, -1.32, 0.14, 0.77]","[0.26644027817316696, -0.11839886963921586, -0.10291948203325618, 0.08163472470358935]","[-2.529608899944721, -0.4992659182797642, -1.1045604222111958, 4.575496117342537]","[-1.7674418604651163, -1.106060606060606, 4.5]","[0.0, 0.0008408792053317231, 0.002580876097196572]",[],"[302.5, -519.2954545454545, -89.1178861788618, 22.867924528301888, 115.3716814159292]",5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,5,3
REGENCERAM.NS,,43,113.698816,31.42857143,1136988160,43,1.17,-0.588178089,,,-0.76202005,0.16400999,0.35187,,-13.85414129,,,,,131470000,,22501000,-0.588038925,,36.752136,,-1.8941897,-13.281,-1.944,,15138,60.59,0,"[67204000.0, 70199000.0, 39608000.0, 12077000.0, 9586000.0]","[-19601000.0, 114623000.0, -38342000.0, -25668000.0, -28112000.0]","[-0.74, -1.45, -0.97, -1.06]","[0.044565799654782356, -0.4357754383965583, -0.6950868511411836, -0.20625983273991888]","[-6.84781388704658, -1.3345052912591715, -0.3305513536070106, 0.09521583294374314]","[0.9594594594594594, -0.3310344827586207, 0.09278350515463929]","[-1.2866200065896543, -1.1083483579264142, -1.08102598156685]",[],"[-21.047984644913626, 27.886476426799007, -25.57103257103257, -112.0748898678414, -14055.0]",5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5,0,5,3
SMLT.NS,,99.96,139.0075008,31.42857143,1390075008,99.96,2.79,-0.468700132,0.031659998,0.02105,0.02305,0.02053,0.16857,,16.84136192,35.324,22.143,,,1773018000,-0.269742924,41198000,-0.468772348,1.737848547,35.827957,,1.1356897,17.534,0.386,0.5,7703,68.85,0,"[462244000.0, 469665000.0, 439970000.0, 457247000.0, 406136000.0]","[10605000.0, 6706000.0, 12203000.0, 8264000.0, 14025000.0]","[0.77, 0.891397, 0.61, 0.99]","[0.01605429167279615, -0.0632259163446286, 0.039268586494533686, -0.1117798476534565]","[-0.3676567656765677, 0.8197136892335222, -0.3227894779972138, 0.6971200387221685]","[0.15765844155844144, -0.3156808919033831, 0.6229508196721312]","[0.0, 0.0]",[],"[13.858668857847166, 219.74545454545455, 18.686422413793103, 11.451864218141347, 14.151898734177216]",5,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,5,3
ORIENTCER.NS,,35.96,438.534912,30.47619048,4385349120,35.96,0.95,0.133446639,,,0.05775,0.03457,0.46351,25.273,3.069159435,,,,,3244377000,0.068869928,99259000,0.130995366,1.902069143,37.85263,2.836536788,1.5198647,15.56,0.382,0.69,48048,63.58,0,"[984512000.0, 819019000.0, 741159000.0, 700316000.0, 980903000.0]","[43024000.0, 34684000.0, 17000000.0, 18490000.0, 29083000.0]","[0.36, 0.14, 0.15, 0.24]","[-0.16809647825521679, -0.09506494965318268, -0.055106933869790375, 0.4006577030940319]","[-0.19384529564894015, -0.5098604543881905, 0.08764705882352941, 0.5729042725797728]","[-0.611111111111111, 0.0714285714285714, 0.6000000000000001]","[0.25273324510238737, 0.19611849635730375, 0.20902301350165575]",[],"[4.775757575757575, 4.576171875, 2.1490580175551273, 2.536291995022812, 3.5144075461945987]",5,5,3,0,0,0,0,0,5,0,0,0,3,0,0,0,3,0,0,5,3
